TeamID,Team,Year,dPTS,PTS,aPTS,Ring,W,Playoffs
335,Portland Trail Blazers,2016,0.215894265,0.664625661,0.448731396,0,44,1
268,Chicago Bulls,2013,0.213442473,-1.206348947,-1.41979142,0,45,1
138,Atlanta Hawks,2009,0.209093708,-0.44041156,-0.649505268,0,47,1
245,Los Angeles Lakers,2013,0.208849896,1.025396605,0.816546709,0,45,1
16,Cleveland Cavaliers,2005,0.20493939,-0.158421445,-0.363360835,0,42,0
392,New Orleans Pelicans,2018,0.193075775,1.447674516,1.254598741,0,48,1
177,Charlotte Bobcats,2010,0.189201062,-1.29220764,-1.481408702,0,44,1
370,Oklahoma City Thunder,2017,0.183752848,0.249095969,0.065343121,0,47,1
203,Portland Trail Blazers,2011,0.176313675,-0.81932948,-0.995643155,0,48,1
388,Memphis Grizzlies,2017,0.170729451,-1.25748447,-1.428213921,0,43,1
348,Detroit Pistons,2016,0.169092071,-0.189893046,-0.358985117,0,44,1
402,Washington Wizards,2018,0.168958251,0.075331479,-0.093626772,0,43,1
43,Chicago Bulls,2006,0.163122628,0.199209873,0.036087245,0,41,1
246,Golden State Warriors,2013,0.162469899,0.769047454,0.606577555,0,47,1
4,Boston Celtics,2005,0.155086468,0.944870762,0.789784294,0,45,1
61,Golden State Warriors,2007,0.141475171,1.961946634,1.820471463,0,42,1
382,Chicago Bulls,2017,0.133529066,-0.669257844,-0.80278691,0,41,1
213,Utah Jazz,2012,0.13210513,0.862356671,0.730251541,0,44.72727273,1
34,Denver Nuggets,2006,0.131303392,0.8336167,0.702313308,0,44,1
394,Cleveland Cavaliers,2018,0.11360889,1.218404796,1.104795906,0,50,1
253,Atlanta Hawks,2013,0.112836585,-0.027142851,-0.139979436,0,44,1
64,Los Angeles Lakers,2007,0.11193588,1.155709189,1.043773309,0,42,1
145,New Orleans Hornets,2009,0.089506631,-0.995330125,-1.084836756,0,49,1
112,Philadelphia 76ers,2008,0.087812139,-0.651282238,-0.739094377,0,40,1
362,Denver Nuggets,2017,0.075144519,1.509581595,1.434437076,0,40,0
86,Orlando Magic,2007,0.063483539,-0.999366567,-1.062850106,0,40,1
